state,ADOM,BDOM,HSGOM
AL,7.7,21.1,80.1
AK,9.5,26.9,89.7
AZ,9.2,25.5,83.8
AR,6.2,18.2,80.5
CA,10.4,29.0,80.1
CO,12.4,34.3,88.0
CT,14.4,33.7,88.0
DE,10.5,27.0,85.5
DC,25.4,45.9,84.3
FL,8.9,25.3,84.5
GA,9.2,26.6,82.2
HI,9.8,29.7,89.0
ID,7.1,23.3,87.3
IL,10.8,28.9,85.0
IN,8.0,21.7,85.2
IA,7.4,24.0,88.9
KS,9.8,28.6,88.5
KY,8.2,20.0,79.6
LA,6.8,20.3,79.4
ME,8.9,25.8,88.7
MD,15.7,35.1,87.1
MA,15.6,37.0,87.9
MI,9.2,24.5,87.2
MN,9.6,30.4,90.7
MS,6.1,18.8,77.9
MO,8.7,24.3,84.8
MT,8.4,27.4,90.1
NE,8.4,26.9,89.5
NV,7.2,20.8,83.9
NH,11.2,31.9,89.9
NJ,12.4,33.4,86.1
NM,10.9,25.3,81.5
NY,13.3,31.2,84.1
NC,8.3,24.8,82.0
ND,6.5,25.6,88.1
OH,8.3,23.0,86.2
OK,7.2,22.1,84.3
OR,10.0,27.5,87.6
PA,9.6,25.4,86.2
RI,11.3,29.6,82.4
SC,7.9,22.7,81.3
SD,7.2,24.8,88.3
TN,7.5,21.7,80.9
TX,8.0,24.7,78.6
UT,9.4,28.6,90.2
VT,12.8,32.4,89.8
VA,13.2,32.7,85.4
WA,10.7,30.5,89.0
WV,6.6,16.5,81.0
WI,8.4,25.1,88.4
WY,7.4,22.7,90.2
